carat,cut,color,clarity,table
1.51,Very Good,F,VS2,57.0
1.51,Premium,G,VVS2,59.0
1.12,Ideal,H,VS2,56.0
1.09,Ideal,D,VS2,56.0
0.42,Ideal,F,VVS1,55.0
0.72,Ideal,I,SI1,56.0
0.71,Ideal,D,VVS1,56.0
1.52,Premium,H,SI2,58.0
1.22,Premium,G,VS2,61.0
0.55,Ideal,F,SI1,56.0
0.34,Ideal,G,VS2,56.0
1.5,Premium,D,SI2,55.0
0.41,Premium,G,VS1,58.0
1.09,Ideal,G,VS1,56.0
0.42,Ideal,G,VS2,56.0
1.21,Very Good,I,VS1,57.0
0.42,Ideal,G,SI1,56.0
0.57,Premium,D,SI1,59.0
1.01,Ideal,G,SI1,58.0
0.9,Ideal,G,SI2,57.0
0.3,Ideal,E,VS2,56.0
0.3,Ideal,D,SI2,56.0
1.02,Ideal,H,I1,58.0
1.59,Fair,H,SI2,59.0
0.78,Ideal,F,SI2,56.0
1.22,Premium,E,VVS2,58.0
1.55,Ideal,I,VS1,57.0
1.2,Ideal,F,SI1,57.0
2.11,Premium,J,SI2,58.0
0.53,Ideal,G,VS1,56.0
0.37,Premium,F,VS2,60.0
1.15,Premium,G,VS1,60.0
0.33,Ideal,I,SI1,54.0
1.01,Good,E,SI2,58.0
0.59,Premium,D,VS2,59.0
1.01,Premium,G,VS2,59.0
0.71,Very Good,I,SI2,57.0
1.02,Ideal,G,VS2,57.0
0.9,Ideal,H,SI1,57.0
2.06,Premium,J,SI2,59.0
0.41,Ideal,F,VVS1,56.0
0.4,Good,E,VVS2,59.0
0.42,Ideal,G,VVS2,56.0
0.36,Ideal,G,VS2,54.0
0.3,Ideal,H,VS2,55.0
1.6,Premium,E,VS2,60.0
0.56,Ideal,D,VS2,57.0
0.51,Ideal,G,VS2,56.0
1.03,Ideal,D,SI1,57.0
0.71,Ideal,D,VS1,57.0
0.54,Ideal,H,VS1,54.0
0.38,Ideal,G,SI1,54.0
0.9,Ideal,H,VS1,57.0
0.35,Ideal,H,VVS1,57.0
0.57,Ideal,H,VS1,54.0
0.33,Ideal,E,VS1,55.0
1.04,Premium,H,VS2,58.0
0.32,Very Good,E,SI1,54.0
0.81,Premium,D,SI2,58.0
1.01,Ideal,E,VS2,56.0
0.71,Premium,E,SI2,59.0
1.52,Ideal,G,SI1,56.0
1.03,Ideal,G,SI2,55.0
0.32,Ideal,F,VS2,55.0
0.46,Premium,F,SI1,61.0
1.02,Premium,D,SI2,59.0
1.22,Ideal,D,SI2,56.0
0.35,Ideal,F,VVS1,54.0
1.6,Very Good,H,VS2,58.0
1.22,Ideal,H,VS1,57.0
0.32,Ideal,H,VS1,57.0
0.33,Ideal,F,VS1,56.0
1.51,Ideal,H,VS2,57.0
1.21,Premium,G,VVS2,59.0
0.5,Ideal,F,SI1,56.0
0.3,Premium,J,SI1,58.0
0.3,Ideal,G,VS1,55.0
1.0,Very Good,J,SI2,60.0
0.78,Ideal,E,SI2,56.0
0.51,Premium,G,VS1,58.0
1.0,Very Good,G,SI2,58.0
0.33,Ideal,F,VVS1,57.0
1.63,Very Good,H,SI2,55.0
2.03,Premium,J,SI1,59.0
1.01,Fair,G,VS2,59.0
0.31,Ideal,E,VVS2,57.0
1.02,Premium,D,VS2,54.0
0.7,Fair,G,SI1,53.0
0.35,Ideal,F,VVS1,56.0
0.73,Ideal,F,VVS2,56.0
0.41,Premium,E,VS1,58.0
0.38,Very Good,F,SI1,54.0
0.3,Premium,E,VS2,60.0
1.71,Premium,I,VS1,58.0
0.37,Premium,F,SI1,60.0
0.31,Ideal,F,VS2,55.0
0.27,Very Good,D,VS1,57.0
0.57,Ideal,H,VVS2,57.0
0.37,Premium,E,VS2,58.0
0.42,Ideal,I,VVS1,56.0
0.31,Very Good,G,SI1,58.0
0.91,Premium,H,VS1,55.0
0.3,Premium,H,VS1,58.0
0.9,Ideal,H,SI1,55.0
0.51,Ideal,F,VS1,56.0
0.4,Very Good,J,SI2,55.0
1.01,Good,F,VS2,62.0
1.05,Ideal,H,SI1,56.0
1.01,Ideal,H,SI2,56.0
0.36,Ideal,G,VVS2,56.0
1.5,Very Good,J,VVS2,58.0
1.06,Ideal,F,SI1,57.0
0.54,Ideal,G,VVS2,56.0
0.7,Very Good,E,VS2,57.0
0.71,Ideal,D,SI1,55.0
0.71,Premium,D,SI2,58.0
1.02,Ideal,F,VS1,56.0
1.02,Premium,G,VS2,58.0
1.02,Very Good,G,VS2,59.0
0.61,Ideal,D,SI1,54.0
1.01,Very Good,H,SI2,60.0
1.27,Premium,G,VS1,60.0
1.0,Premium,H,VS2,61.0
0.31,Ideal,G,VS2,55.0
1.12,Very Good,F,SI1,56.0
1.5,Ideal,D,VS2,55.0
0.78,Premium,I,SI2,60.0
0.84,Ideal,F,SI1,59.0
0.3,Ideal,F,VVS1,58.0
2.14,Premium,J,SI2,60.0
0.72,Ideal,G,SI1,56.0
0.56,Premium,F,VS2,56.0
0.32,Ideal,E,VS2,55.0
0.23,Very Good,E,VVS2,58.0
0.4,Very Good,G,VS1,58.0
1.05,Ideal,H,VS1,56.0
0.43,Ideal,I,VVS1,55.0
1.2,Very Good,I,SI1,57.0
0.3,Very Good,H,VS1,60.0
0.3,Ideal,H,VS2,54.0
1.17,Good,F,SI2,64.0
0.42,Very Good,G,VS1,56.0
0.53,Ideal,E,SI1,56.0
0.36,Good,F,SI1,56.0
0.41,Ideal,F,VS1,56.0
0.71,Good,F,SI1,56.0
1.5,Premium,F,VS2,58.0
0.35,Ideal,G,IF,56.0
1.26,Premium,G,VS2,58.0
1.0,Ideal,E,SI1,57.0
1.0,Good,D,SI2,61.0
1.71,Premium,G,VS2,58.0
1.0,Premium,H,SI1,59.0
0.4,Ideal,D,SI1,56.0
0.5,Ideal,H,SI1,56.0
0.32,Ideal,H,SI2,55.0
0.31,Ideal,E,VS2,56.0
0.3,Ideal,F,SI1,57.0
1.5,Very Good,J,VS2,55.0
0.42,Premium,F,SI1,59.0
0.37,Ideal,F,VVS1,55.0
1.03,Premium,H,SI1,58.0
0.31,Ideal,H,VS2,56.0
0.71,Ideal,G,VS2,56.0
1.02,Ideal,F,SI2,58.0
0.79,Premium,E,SI1,60.0
0.52,Ideal,D,VS2,56.0
0.34,Ideal,F,VS2,53.0
1.52,Premium,G,VS2,61.0
0.7,Ideal,F,SI1,56.0
0.51,Ideal,D,VS2,57.0
1.2,Ideal,H,VVS2,54.0
0.3,Good,E,SI1,56.0
0.58,Ideal,H,SI2,56.0
0.71,Very Good,I,VS2,58.0
0.31,Premium,G,VVS2,59.0
0.92,Ideal,H,SI2,57.0
0.55,Ideal,G,VS1,57.0
1.61,Premium,D,SI2,61.0
0.31,Very Good,F,SI1,56.0
1.03,Ideal,F,SI2,55.0
2.01,Premium,I,VS2,61.0
0.6,Ideal,F,VS1,57.0
0.41,Ideal,E,VS1,57.0
0.7,Very Good,F,SI2,60.0
0.77,Premium,F,VS2,60.0
0.5,Premium,G,VS1,60.0
1.0,Premium,F,VS2,60.0
1.01,Premium,F,SI1,58.0
0.8,Ideal,I,VS2,57.0
0.85,Ideal,E,SI1,56.0
0.44,Premium,J,VVS1,58.0
0.42,Ideal,F,VVS2,54.0
0.31,Ideal,D,VS2,54.0
2.52,Ideal,F,SI2,56.0
2.02,Ideal,H,SI2,56.0
2.06,Premium,H,SI2,61.0
0.34,Ideal,F,SI1,54.0
0.3,Good,H,VS1,57.0
0.52,Ideal,D,SI1,56.0
0.9,Very Good,D,SI2,57.0
0.7,Ideal,D,SI2,56.0
0.39,Very Good,E,VS2,57.0
0.73,Ideal,E,SI1,56.0
0.51,Ideal,E,SI1,57.0
1.23,Ideal,G,VS2,57.0
1.5,Premium,E,SI1,60.0
0.42,Ideal,G,IF,57.0
0.55,Ideal,E,SI1,55.0
0.51,Premium,D,VS2,59.0
1.51,Ideal,G,VVS2,57.0
1.63,Very Good,G,VS2,59.0
0.9,Very Good,D,SI1,57.0
1.22,Premium,E,VS2,60.0
0.55,Ideal,F,VS2,56.0
1.01,Premium,H,VS2,58.0
0.72,Ideal,E,VS2,54.0
1.05,Very Good,I,VS1,57.0
0.7,Very Good,I,VVS1,59.0
0.31,Ideal,F,VS2,57.0
0.56,Ideal,F,SI1,55.0
1.52,Ideal,I,SI1,57.0
0.9,Very Good,E,SI1,58.0
0.31,Ideal,H,VS1,55.0
0.56,Good,E,VS2,62.0
0.32,Very Good,H,VS2,57.0
0.72,Premium,F,SI2,60.0
0.51,Ideal,E,VVS2,55.0
0.33,Premium,D,VS2,59.0
1.03,Very Good,D,SI2,57.0
0.25,Very Good,E,VS2,56.0
0.3,Ideal,D,I1,59.0
1.38,Premium,H,SI1,58.0
1.01,Premium,E,SI1,59.0
0.43,Ideal,G,VS1,55.0
0.71,Premium,G,SI2,59.0
1.01,Premium,H,VS1,60.0
0.42,Ideal,E,VS2,57.0
0.5,Good,G,VS1,60.0
0.72,Ideal,F,VVS2,56.0
0.32,Very Good,G,SI2,57.0
0.38,Ideal,E,VS2,55.0
0.63,Very Good,E,VS2,56.0
0.54,Ideal,F,VS2,56.0
1.07,Premium,G,SI2,60.0
2.03,Ideal,H,SI2,57.0
0.33,Ideal,G,VVS2,56.0
1.17,Fair,I,SI1,68.0
0.52,Ideal,F,VS1,55.0
1.02,Very Good,D,SI2,57.0
0.55,Ideal,D,VS1,56.0
1.0,Premium,F,VS1,60.0
0.57,Ideal,E,SI1,55.0
0.73,Very Good,I,VS1,58.0
1.07,Ideal,G,VVS2,56.0
2.0,Premium,J,SI1,60.0
0.54,Ideal,G,VS1,56.0
2.51,Premium,H,SI1,59.0
2.03,Very Good,E,SI2,59.0
0.31,Ideal,E,VS2,55.0
0.3,Ideal,G,VVS1,57.0
1.03,Premium,E,SI2,58.0
0.51,Very Good,E,VS2,63.0
1.22,Ideal,H,SI1,57.0
1.0,Very Good,D,SI2,54.0
1.02,Ideal,G,VS2,55.0
0.32,Ideal,F,VS2,56.0
0.51,Ideal,F,SI1,55.0
0.3,Ideal,E,VVS2,55.0
0.53,Premium,E,VS2,58.0
0.51,Very Good,F,VS1,58.0
0.5,Ideal,H,VVS1,56.0
1.12,Premium,E,SI2,57.0
1.51,Premium,F,VVS2,59.0
0.3,Ideal,H,VS1,56.0
0.71,Good,G,VS2,59.0
0.51,Very Good,D,SI1,58.0
0.9,Premium,H,VS2,60.0
0.34,Premium,G,VS2,57.0
1.55,Very Good,H,VS2,61.0
0.39,Ideal,H,SI1,56.0
0.92,Premium,D,SI1,60.0
0.38,Very Good,D,SI1,59.0
2.0,Ideal,H,SI1,57.0
0.32,Ideal,D,SI2,54.0
1.5,Good,G,VS2,58.0
0.3,Ideal,F,IF,55.0
0.9,Very Good,I,SI1,59.0
1.74,Premium,D,SI1,58.0
1.2,Ideal,F,VS2,54.0
0.32,Ideal,H,VVS1,57.0
1.01,Very Good,F,I1,60.0
1.2,Premium,G,VS2,58.0
0.54,Ideal,H,VS1,55.0
0.71,Ideal,H,VS1,57.0
1.51,Premium,G,VS2,59.0
2.57,Ideal,I,SI2,57.0
0.4,Very Good,G,SI1,56.0
0.51,Ideal,E,VS2,55.0
0.3,Ideal,I,VS1,53.9
0.9,Very Good,G,SI2,57.0
0.59,Ideal,G,SI1,55.0
0.83,Ideal,F,SI1,55.0
0.75,Very Good,E,SI1,58.0
0.56,Ideal,E,SI1,55.0
0.52,Premium,H,VS2,59.0
0.39,Premium,F,SI2,59.0
1.32,Ideal,I,VS1,55.0
0.36,Ideal,E,VS1,56.0
0.94,Very Good,F,SI1,59.0
0.7,Very Good,G,SI1,60.0
0.34,Ideal,D,SI2,57.0
0.3,Premium,H,SI1,61.0
0.4,Premium,E,SI1,59.0
0.53,Premium,G,VVS2,54.0
1.01,Very Good,H,VS2,61.0
0.3,Premium,I,VS1,60.0
1.5,Premium,F,SI2,58.0
0.54,Very Good,E,SI1,59.0
0.75,Ideal,E,VVS2,57.0
1.07,Ideal,I,SI1,56.0
1.52,Ideal,G,SI1,57.0
0.96,Premium,H,SI2,59.0
0.42,Ideal,G,VS1,56.0
1.24,Premium,I,SI1,59.0
0.7,Very Good,G,VS2,57.0
0.4,Ideal,F,SI2,56.0
1.5,Good,H,VS2,60.0
0.32,Ideal,E,IF,55.0
0.9,Premium,F,SI2,58.0
2.03,Very Good,E,SI1,59.0
0.42,Very Good,F,SI1,58.0
0.34,Ideal,H,VVS1,54.0
0.9,Premium,F,SI2,59.0
0.51,Ideal,E,VS2,56.0
0.81,Very Good,E,SI1,60.0
0.79,Ideal,F,VS2,57.0
0.55,Very Good,E,VVS1,58.0
1.36,Premium,G,SI2,59.0
0.36,Ideal,E,VS1,55.0
1.04,Premium,D,SI2,59.0
0.41,Ideal,G,VVS1,57.0
0.3,Ideal,H,VVS1,57.0
0.34,Ideal,E,VS2,57.0
2.07,Premium,E,SI2,59.0
0.4,Ideal,D,SI1,56.0
2.02,Ideal,F,SI2,57.0
0.31,Ideal,G,SI1,56.0
0.71,Premium,E,SI2,58.0
0.4,Premium,F,SI1,58.0
0.52,Very Good,G,VVS2,56.0
1.03,Very Good,H,VS2,56.0
0.3,Ideal,G,VS1,57.0
0.35,Ideal,E,VS1,55.0
0.55,Very Good,E,SI2,58.0
0.32,Ideal,H,VVS2,55.0
1.23,Premium,H,SI1,58.0
1.06,Ideal,G,SI2,54.0
0.39,Premium,D,VS2,60.0
0.7,Very Good,G,SI1,59.0
2.0,Premium,J,VS1,59.0
0.54,Ideal,D,VS1,56.0
0.3,Premium,G,SI1,59.0
0.61,Premium,H,VS2,59.0
0.7,Good,F,VS1,61.0
1.52,Premium,F,VS2,59.0
0.51,Very Good,G,SI1,56.0
0.41,Ideal,D,VS2,55.0
0.28,Ideal,F,VS1,55.0
0.9,Premium,E,VS2,62.0
0.32,Ideal,D,SI1,55.0
0.5,Premium,F,SI2,61.0
0.41,Premium,F,VS1,60.0
0.31,Ideal,D,SI1,56.0
0.71,Very Good,G,SI1,58.0
0.5,Ideal,F,VVS2,56.0
1.2,Premium,H,SI2,58.0
0.43,Premium,G,SI1,58.0
0.33,Ideal,D,VS2,55.0
0.71,Ideal,H,VVS1,55.0
1.29,Very Good,H,SI1,56.0
0.93,Good,G,SI2,54.0
1.0,Premium,H,SI1,58.0
2.32,Ideal,J,SI2,57.0
0.9,Ideal,E,SI2,57.0
2.05,Ideal,J,SI2,59.0
1.2,Very Good,H,SI2,57.0
0.7,Very Good,F,VS2,61.0
0.39,Ideal,G,IF,54.0
0.5,Ideal,G,VVS2,56.0
1.11,Ideal,H,VS2,56.0
1.06,Ideal,G,VS2,57.0
0.55,Ideal,H,IF,56.0
0.71,Very Good,G,SI1,57.0
1.54,Ideal,G,SI1,56.0
1.5,Premium,G,SI1,58.0
0.35,Ideal,G,IF,55.0
1.21,Premium,H,SI1,58.0
1.07,Ideal,G,SI1,55.0
0.31,Ideal,E,VS2,55.0
0.51,Ideal,F,VS1,55.0
0.38,Very Good,F,SI1,61.0
0.42,Ideal,G,SI1,55.0
0.32,Premium,H,SI1,59.0
0.9,Fair,D,SI2,54.0
0.55,Ideal,E,SI1,57.0
2.06,Ideal,I,VS1,57.0
0.32,Ideal,H,IF,55.0
0.51,Ideal,D,VS2,56.0
0.56,Fair,E,VS2,56.0
1.02,Very Good,H,SI1,56.0
0.31,Ideal,E,VS2,57.0
0.31,Ideal,E,VS2,54.0
0.7,Very Good,H,VS2,55.0
0.57,Ideal,E,VS2,57.0
0.51,Premium,J,VS2,60.0
2.04,Premium,F,SI1,62.0
0.4,Very Good,I,VS1,58.0
0.9,Ideal,H,VS1,55.0
0.8,Ideal,F,SI1,57.0
2.0,Very Good,I,VS2,58.0
1.01,Premium,F,SI1,59.0
0.59,Ideal,F,VVS2,58.0
0.35,Premium,H,VVS2,58.0
0.25,Ideal,F,VS2,56.0
0.3,Premium,D,SI1,58.0
0.55,Ideal,E,SI1,57.0
0.42,Ideal,D,VS2,56.0
1.52,Ideal,F,VS2,56.0
0.73,Premium,G,VS1,58.0
0.41,Premium,G,SI1,59.0
0.55,Ideal,G,VS2,55.0
0.32,Ideal,E,VS2,56.0
1.0,Very Good,H,SI2,59.0
0.4,Ideal,D,SI2,56.0
0.66,Ideal,D,SI1,56.0
0.9,Very Good,E,SI1,58.0
1.01,Good,D,SI1,64.0
1.09,Ideal,H,VS2,55.0
1.08,Ideal,J,VS1,56.0
1.53,Ideal,G,SI1,57.0
1.51,Ideal,H,VS2,56.0
0.35,Ideal,D,SI1,55.0
1.51,Ideal,H,VS2,57.0
1.6,Ideal,F,VS2,56.0
0.32,Ideal,F,VS2,55.0
0.42,Ideal,E,VS2,57.0
0.9,Very Good,I,SI2,56.0
0.94,Premium,E,SI2,58.0
0.71,Ideal,E,VS2,56.0
0.36,Ideal,F,VVS2,55.0
0.31,Ideal,F,VS2,57.0
0.9,Ideal,E,SI1,56.0
0.75,Premium,E,VS1,58.0
1.13,Ideal,G,VS2,55.0
0.95,Very Good,I,VS2,58.0
1.01,Ideal,G,VS1,56.0
1.0,Premium,G,VS1,59.0
0.36,Very Good,D,VS2,56.0
1.61,Premium,I,SI2,57.0
1.0,Good,E,VS2,58.0
2.0,Ideal,I,VS2,56.0
0.31,Premium,D,SI1,56.0
0.43,Ideal,D,VS2,57.0
1.01,Very Good,I,SI2,59.0
0.7,Premium,D,SI2,63.0
1.25,Premium,F,VS1,60.0
0.25,Very Good,F,VVS2,55.0
0.82,Ideal,I,VS2,56.0
0.9,Very Good,F,SI2,58.0
1.54,Ideal,G,VS1,55.0
0.34,Ideal,H,VS1,55.0
1.52,Ideal,G,VS2,55.0
0.32,Ideal,F,IF,56.0
0.5,Very Good,D,VS2,63.0
1.02,Very Good,D,I1,56.0
0.3,Ideal,G,VS1,56.0
0.36,Very Good,D,SI1,60.0
0.4,Very Good,F,SI1,59.0
0.7,Very Good,G,VS2,58.0
0.71,Premium,G,SI1,60.0
0.42,Ideal,F,VVS1,55.0
1.5,Premium,E,SI2,60.0
0.41,Ideal,G,SI1,55.0
0.8,Very Good,D,VS2,58.0
0.31,Very Good,D,SI1,56.0
1.01,Very Good,F,VVS2,58.0
0.32,Ideal,E,VVS1,55.0
0.35,Premium,F,VS2,59.0
0.6,Premium,F,VS2,60.0
0.74,Premium,E,SI2,61.0
0.3,Ideal,G,VS1,55.0
1.26,Very Good,H,SI1,59.0
0.78,Premium,F,SI1,58.0
0.77,Premium,E,SI1,58.0
0.35,Premium,E,VS2,59.0
0.54,Premium,F,VS2,60.0
1.23,Very Good,G,VS2,59.0
0.5,Premium,E,SI1,58.0
0.62,Premium,D,SI2,58.0
0.7,Premium,E,VS2,58.0
1.03,Premium,F,VS2,59.0
0.46,Ideal,H,VS2,55.0
1.01,Very Good,H,SI1,59.0
0.71,Ideal,E,SI1,56.0
0.72,Ideal,F,VS1,55.0
1.73,Ideal,G,VS2,57.0
0.56,Ideal,E,VS2,57.0
0.55,Ideal,F,SI2,56.0
0.32,Premium,I,SI1,59.0
1.51,Ideal,J,VVS2,55.0
0.6,Ideal,F,VS1,57.0
1.04,Premium,J,VS1,58.0
0.31,Ideal,H,VS2,56.0
0.42,Premium,I,VVS1,57.0
0.54,Premium,D,SI1,58.0
1.52,Very Good,G,SI1,62.0
0.73,Premium,I,VS2,58.0
1.01,Very Good,F,SI1,57.0
0.71,Premium,E,SI1,58.0
1.13,Ideal,G,VVS2,56.0
0.56,Ideal,E,SI1,56.0
0.34,Ideal,E,SI1,57.0
0.33,Ideal,D,VS2,54.0
0.81,Very Good,F,VS1,57.0
1.23,Premium,D,SI2,58.0
0.72,Ideal,F,VS2,54.0
0.3,Ideal,F,VVS1,54.0
1.33,Ideal,I,SI2,55.0
0.23,Very Good,E,VVS1,58.0
0.31,Ideal,G,VVS1,55.0
0.31,Premium,I,VVS1,59.0
1.04,Ideal,E,VVS1,57.0
0.53,Very Good,F,SI1,60.0
0.42,Ideal,E,VS2,57.0
0.41,Good,D,SI1,57.0
1.2,Premium,J,VS1,59.0
0.57,Ideal,F,IF,57.0
1.05,Ideal,I,VS1,57.0
0.3,Ideal,F,VS2,57.0
1.27,Ideal,G,VS1,57.0
0.31,Ideal,G,VS1,56.0
0.54,Ideal,I,VVS1,56.0
0.33,Ideal,D,VS2,54.0
0.7,Premium,E,SI2,59.0
0.4,Ideal,E,VS2,57.0
0.31,Ideal,H,VS1,57.0
0.72,Premium,E,SI1,60.0
0.24,Very Good,E,VVS1,61.0
0.4,Ideal,G,SI1,56.0
0.42,Ideal,E,VS1,57.0
1.0,Premium,E,SI2,59.0
0.61,Premium,D,SI1,57.0
1.51,Premium,I,VS2,58.0
1.54,Ideal,G,SI1,57.0
1.04,Ideal,F,VVS2,57.0
0.59,Premium,G,VS2,62.0
1.06,Ideal,H,VS2,57.0
1.02,Ideal,D,VS1,56.0
0.3,Ideal,F,VS1,55.0
0.31,Ideal,E,VS1,55.0
1.5,Ideal,E,VS2,55.0
2.11,Good,I,SI2,60.0
1.54,Ideal,H,SI2,58.0
0.32,Ideal,G,VS1,56.0
1.0,Premium,H,SI2,58.0
0.32,Premium,E,SI2,55.0
0.36,Premium,G,VS1,59.0
0.39,Ideal,G,IF,55.0
0.54,Ideal,D,VS2,57.0
0.7,Very Good,I,SI1,58.0
1.02,Ideal,G,VVS2,57.0
0.81,Premium,D,VS2,56.0
1.23,Ideal,G,VS1,57.0
0.4,Ideal,D,SI1,57.0
0.31,Ideal,G,VVS2,54.0
0.5,Premium,E,VS2,58.0
1.36,Premium,E,SI2,60.0
0.29,Very Good,F,VVS1,59.0
0.51,Premium,E,SI1,59.0
1.5,Premium,I,VS1,58.0
0.3,Ideal,D,SI1,56.0
1.54,Premium,F,SI1,61.0
0.7,Ideal,G,VS2,57.0
1.11,Premium,H,SI1,58.0
0.71,Good,F,VS2,61.0
0.3,Ideal,I,IF,57.0
0.72,Very Good,F,VS2,58.0
0.8,Ideal,D,SI1,56.0
0.71,Very Good,F,SI1,55.0
0.54,Ideal,F,VVS1,58.0
1.01,Good,F,SI1,60.0
0.72,Ideal,D,SI1,56.0
0.42,Ideal,E,VVS2,57.0
0.71,Very Good,H,VS2,63.0
1.01,Ideal,G,SI1,57.0
0.59,Ideal,I,VS2,53.0
0.7,Ideal,D,VS1,55.0
1.01,Premium,H,SI2,58.0
1.21,Very Good,I,SI2,61.0
0.52,Ideal,F,VS2,55.0
0.5,Premium,E,VS2,58.0
0.35,Ideal,F,VS2,55.0
1.03,Ideal,G,IF,56.0
1.55,Ideal,H,SI1,55.0
1.56,Very Good,I,VS1,58.0
0.5,Premium,H,SI1,60.0
0.5,Premium,H,SI1,58.0
1.56,Premium,G,VS2,58.0
0.3,Premium,D,SI1,58.0
1.6,Ideal,I,VS2,55.0
1.79,Ideal,I,VS2,56.0
0.3,Ideal,I,VVS1,57.0
0.31,Ideal,E,VS1,56.0
0.23,Very Good,E,VS1,59.0
0.23,Very Good,E,VVS1,61.0
1.05,Ideal,G,VS1,60.0
0.5,Very Good,E,SI2,54.0
0.3,Ideal,E,VS2,56.0
0.3,Ideal,E,VVS1,54.0
0.35,Ideal,I,VS2,55.0
2.28,Ideal,H,SI2,55.0
0.31,Ideal,D,VVS2,58.0
1.22,Very Good,G,SI2,58.0
1.01,Premium,F,SI1,56.0
1.0,Very Good,H,SI1,60.0
1.01,Premium,G,VS2,59.0
0.96,Good,H,SI1,64.0
1.21,Premium,G,VVS2,59.0
1.01,Premium,H,SI1,58.0
0.36,Ideal,H,SI1,55.0
0.31,Ideal,E,SI1,55.0
0.8,Ideal,F,SI1,55.0
1.0,Good,D,SI1,59.0
1.0,Good,F,SI1,64.0
0.56,Ideal,D,SI1,56.0
0.41,Ideal,D,SI2,54.0
0.7,Ideal,F,SI1,55.0
0.3,Ideal,G,VVS1,54.0
0.52,Very Good,E,SI1,55.0
1.24,Ideal,F,SI1,57.0
0.3,Ideal,D,VS2,57.0
1.52,Premium,G,VS2,59.0
1.71,Ideal,H,VS2,57.0
1.02,Ideal,F,VVS2,56.0
1.51,Very Good,H,VS2,58.0
0.36,Premium,G,SI1,60.0
0.41,Ideal,I,VVS1,56.0
0.28,Ideal,F,VS1,55.0
0.71,Premium,E,VS2,58.0
0.36,Ideal,D,SI1,54.0
0.51,Ideal,F,SI2,56.0
1.34,Ideal,F,SI1,56.0
1.02,Very Good,F,SI2,58.0
0.33,Ideal,D,VS2,55.0
0.61,Ideal,G,VS1,54.0
0.31,Ideal,D,SI1,58.0
1.5,Very Good,E,SI1,58.0
0.72,Premium,E,SI2,60.0
1.54,Ideal,G,SI1,57.0
0.38,Premium,G,VS1,60.0
0.26,Very Good,D,VVS2,55.0
0.9,Premium,H,VS2,58.0
1.08,Premium,D,SI1,60.0
0.3,Premium,D,VS2,59.0
1.22,Ideal,F,VS2,57.0
0.58,Ideal,F,VS1,55.0
1.53,Very Good,G,VS2,58.0
1.05,Very Good,E,SI2,56.0
0.3,Ideal,D,SI1,57.0
0.3,Ideal,H,VS1,55.0
1.0,Ideal,G,VVS2,57.0
0.3,Ideal,E,VS2,57.0
0.47,Premium,H,VS2,60.0
0.3,Good,F,VS2,57.0
0.23,Very Good,F,VVS2,57.0
0.9,Fair,G,VS2,57.0
1.04,Ideal,G,SI2,57.0
0.36,Premium,D,SI2,59.0
0.32,Premium,G,VS2,61.0
