carat,table,color,clarity
2.14,60.0,0.0,1.0
0.72,56.0,3.0,2.0
0.56,56.0,4.0,3.0
0.32,55.0,5.0,3.0
0.23,58.0,5.0,5.0
0.4,58.0,3.0,4.0
1.05,56.0,2.0,4.0
0.43,55.0,1.0,6.0
1.2,57.0,1.0,2.0
0.3,60.0,2.0,4.0
0.3,54.0,2.0,3.0
1.17,64.0,4.0,1.0
0.42,56.0,3.0,4.0
0.53,56.0,5.0,2.0
0.36,56.0,4.0,2.0
0.41,56.0,4.0,4.0
0.71,56.0,4.0,2.0
1.5,58.0,4.0,3.0
0.35,56.0,3.0,7.0
1.26,58.0,3.0,3.0
1.0,57.0,5.0,2.0
1.0,61.0,6.0,1.0
1.71,58.0,3.0,3.0
1.0,59.0,2.0,2.0
0.4,56.0,6.0,2.0
0.5,56.0,2.0,2.0
0.32,55.0,2.0,1.0
0.31,56.0,5.0,3.0
0.3,57.0,4.0,2.0
1.5,55.0,0.0,3.0
0.42,59.0,4.0,2.0
0.37,55.0,4.0,6.0
1.03,58.0,2.0,2.0
0.31,56.0,2.0,3.0
0.71,56.0,3.0,3.0
1.02,58.0,4.0,1.0
0.79,60.0,5.0,2.0
0.52,56.0,6.0,3.0
0.34,53.0,4.0,3.0
1.52,61.0,3.0,3.0
0.7,56.0,4.0,2.0
0.51,57.0,6.0,3.0
1.2,54.0,2.0,5.0
0.3,56.0,5.0,2.0
0.58,56.0,2.0,1.0
0.71,58.0,1.0,3.0
0.31,59.0,3.0,5.0
0.92,57.0,2.0,1.0
0.55,57.0,3.0,4.0
1.61,61.0,6.0,1.0
0.31,56.0,4.0,2.0
1.03,55.0,4.0,1.0
2.01,61.0,1.0,3.0
0.6,57.0,4.0,4.0
0.41,57.0,5.0,4.0
0.7,60.0,4.0,1.0
0.77,60.0,4.0,3.0
0.5,60.0,3.0,4.0
1.0,60.0,4.0,3.0
1.01,58.0,4.0,2.0
0.8,57.0,1.0,3.0
0.85,56.0,5.0,2.0
0.44,58.0,0.0,6.0
0.42,54.0,4.0,5.0
0.31,54.0,6.0,3.0
2.52,56.0,4.0,1.0
2.02,56.0,2.0,1.0
2.06,61.0,2.0,1.0
0.34,54.0,4.0,2.0
0.3,57.0,2.0,4.0
0.52,56.0,6.0,2.0
0.9,57.0,6.0,1.0
0.7,56.0,6.0,1.0
0.39,57.0,5.0,3.0
0.73,56.0,5.0,2.0
0.51,57.0,5.0,2.0
1.23,57.0,3.0,3.0
1.5,60.0,5.0,2.0
0.42,57.0,3.0,7.0
0.55,55.0,5.0,2.0
0.51,59.0,6.0,3.0
1.51,57.0,3.0,5.0
1.63,59.0,3.0,3.0
0.9,57.0,6.0,2.0
1.22,60.0,5.0,3.0
0.55,56.0,4.0,3.0
1.01,58.0,2.0,3.0
0.72,54.0,5.0,3.0
1.05,57.0,1.0,4.0
0.7,59.0,1.0,6.0
0.31,57.0,4.0,3.0
0.56,55.0,4.0,2.0
1.52,57.0,1.0,2.0
0.9,58.0,5.0,2.0
0.31,55.0,2.0,4.0
0.56,62.0,5.0,3.0
0.32,57.0,2.0,3.0
0.72,60.0,4.0,1.0
0.51,55.0,5.0,5.0
0.33,59.0,6.0,3.0
1.03,57.0,6.0,1.0
0.25,56.0,5.0,3.0
0.3,59.0,6.0,0.0
1.38,58.0,2.0,2.0
1.01,59.0,5.0,2.0
0.43,55.0,3.0,4.0
0.71,59.0,3.0,1.0
1.01,60.0,2.0,4.0
0.42,57.0,5.0,3.0
0.5,60.0,3.0,4.0
0.72,56.0,4.0,5.0
0.32,57.0,3.0,1.0
0.38,55.0,5.0,3.0
0.63,56.0,5.0,3.0
0.54,56.0,4.0,3.0
1.07,60.0,3.0,1.0
2.03,57.0,2.0,1.0
0.33,56.0,3.0,5.0
1.17,68.0,1.0,2.0
0.52,55.0,4.0,4.0
1.02,57.0,6.0,1.0
0.55,56.0,6.0,4.0
1.0,60.0,4.0,4.0
0.57,55.0,5.0,2.0
0.73,58.0,1.0,4.0
1.07,56.0,3.0,5.0
2.0,60.0,0.0,2.0
0.54,56.0,3.0,4.0
2.51,59.0,2.0,2.0
2.03,59.0,5.0,1.0
0.31,55.0,5.0,3.0
0.3,57.0,3.0,6.0
1.03,58.0,5.0,1.0
0.51,63.0,5.0,3.0
1.22,57.0,2.0,2.0
1.0,54.0,6.0,1.0
1.02,55.0,3.0,3.0
0.32,56.0,4.0,3.0
0.51,55.0,4.0,2.0
0.3,55.0,5.0,5.0
0.53,58.0,5.0,3.0
0.51,58.0,4.0,4.0
0.5,56.0,2.0,6.0
1.12,57.0,5.0,1.0
1.51,59.0,4.0,5.0
0.3,56.0,2.0,4.0
0.71,59.0,3.0,3.0
0.51,58.0,6.0,2.0
0.9,60.0,2.0,3.0
0.34,57.0,3.0,3.0
1.55,61.0,2.0,3.0
0.39,56.0,2.0,2.0
0.92,60.0,6.0,2.0
0.38,59.0,6.0,2.0
2.0,57.0,2.0,2.0
0.32,54.0,6.0,1.0
1.5,58.0,3.0,3.0
0.3,55.0,4.0,7.0
0.9,59.0,1.0,2.0
1.74,58.0,6.0,2.0
1.2,54.0,4.0,3.0
0.32,57.0,2.0,6.0
1.01,60.0,4.0,0.0
1.2,58.0,3.0,3.0
0.54,55.0,2.0,4.0
0.71,57.0,2.0,4.0
1.51,59.0,3.0,3.0
2.57,57.0,1.0,1.0
0.4,56.0,3.0,2.0
0.51,55.0,5.0,3.0
0.3,53.9,1.0,4.0
0.9,57.0,3.0,1.0
0.59,55.0,3.0,2.0
0.83,55.0,4.0,2.0
0.75,58.0,5.0,2.0
0.56,55.0,5.0,2.0
0.52,59.0,2.0,3.0
0.39,59.0,4.0,1.0
1.32,55.0,1.0,4.0
0.36,56.0,5.0,4.0
0.94,59.0,4.0,2.0
0.7,60.0,3.0,2.0
0.34,57.0,6.0,1.0
0.3,61.0,2.0,2.0
0.4,59.0,5.0,2.0
0.53,54.0,3.0,5.0
1.01,61.0,2.0,3.0
0.3,60.0,1.0,4.0
1.5,58.0,4.0,1.0
0.54,59.0,5.0,2.0
0.75,57.0,5.0,5.0
1.07,56.0,1.0,2.0
1.52,57.0,3.0,2.0
0.96,59.0,2.0,1.0
0.42,56.0,3.0,4.0
1.24,59.0,1.0,2.0
0.7,57.0,3.0,3.0
0.4,56.0,4.0,1.0
1.5,60.0,2.0,3.0
0.32,55.0,5.0,7.0
0.9,58.0,4.0,1.0
2.03,59.0,5.0,2.0
0.42,58.0,4.0,2.0
0.34,54.0,2.0,6.0
0.9,59.0,4.0,1.0
0.51,56.0,5.0,3.0
0.81,60.0,5.0,2.0
0.79,57.0,4.0,3.0
0.55,58.0,5.0,6.0
1.36,59.0,3.0,1.0
0.36,55.0,5.0,4.0
1.04,59.0,6.0,1.0
0.41,57.0,3.0,6.0
0.3,57.0,2.0,6.0
0.34,57.0,5.0,3.0
2.07,59.0,5.0,1.0
0.4,56.0,6.0,2.0
2.02,57.0,4.0,1.0
0.31,56.0,3.0,2.0
0.71,58.0,5.0,1.0
0.4,58.0,4.0,2.0
0.52,56.0,3.0,5.0
1.03,56.0,2.0,3.0
0.3,57.0,3.0,4.0
0.35,55.0,5.0,4.0
0.55,58.0,5.0,1.0
0.32,55.0,2.0,5.0
1.23,58.0,2.0,2.0
1.06,54.0,3.0,1.0
0.39,60.0,6.0,3.0
0.7,59.0,3.0,2.0
2.0,59.0,0.0,4.0
0.54,56.0,6.0,4.0
0.3,59.0,3.0,2.0
0.61,59.0,2.0,3.0
0.7,61.0,4.0,4.0
1.52,59.0,4.0,3.0
0.51,56.0,3.0,2.0
0.41,55.0,6.0,3.0
0.28,55.0,4.0,4.0
0.9,62.0,5.0,3.0
0.32,55.0,6.0,2.0
0.5,61.0,4.0,1.0
0.41,60.0,4.0,4.0
0.31,56.0,6.0,2.0
0.71,58.0,3.0,2.0
0.5,56.0,4.0,5.0
1.2,58.0,2.0,1.0
0.43,58.0,3.0,2.0
0.33,55.0,6.0,3.0
0.71,55.0,2.0,6.0
1.29,56.0,2.0,2.0
0.93,54.0,3.0,1.0
1.0,58.0,2.0,2.0
2.32,57.0,0.0,1.0
0.9,57.0,5.0,1.0
2.05,59.0,0.0,1.0
1.2,57.0,2.0,1.0
0.7,61.0,4.0,3.0
0.39,54.0,3.0,7.0
0.5,56.0,3.0,5.0
1.11,56.0,2.0,3.0
1.06,57.0,3.0,3.0
0.55,56.0,2.0,7.0
0.71,57.0,3.0,2.0
1.54,56.0,3.0,2.0
1.5,58.0,3.0,2.0
0.35,55.0,3.0,7.0
1.21,58.0,2.0,2.0
1.07,55.0,3.0,2.0
0.31,55.0,5.0,3.0
0.51,55.0,4.0,4.0
0.38,61.0,4.0,2.0
0.42,55.0,3.0,2.0
0.32,59.0,2.0,2.0
0.9,54.0,6.0,1.0
0.55,57.0,5.0,2.0
2.06,57.0,1.0,4.0
0.32,55.0,2.0,7.0
0.51,56.0,6.0,3.0
0.56,56.0,5.0,3.0
1.02,56.0,2.0,2.0
0.31,57.0,5.0,3.0
0.31,54.0,5.0,3.0
0.7,55.0,2.0,3.0
0.57,57.0,5.0,3.0
0.51,60.0,0.0,3.0
2.04,62.0,4.0,2.0
0.4,58.0,1.0,4.0
0.9,55.0,2.0,4.0
0.8,57.0,4.0,2.0
2.0,58.0,1.0,3.0
1.01,59.0,4.0,2.0
0.59,58.0,4.0,5.0
0.35,58.0,2.0,5.0
0.25,56.0,4.0,3.0
0.3,58.0,6.0,2.0
0.55,57.0,5.0,2.0
0.42,56.0,6.0,3.0
1.52,56.0,4.0,3.0
0.73,58.0,3.0,4.0
0.41,59.0,3.0,2.0
0.55,55.0,3.0,3.0
0.32,56.0,5.0,3.0
1.0,59.0,2.0,1.0
0.4,56.0,6.0,1.0
0.66,56.0,6.0,2.0
0.9,58.0,5.0,2.0
1.01,64.0,6.0,2.0
1.09,55.0,2.0,3.0
1.08,56.0,0.0,4.0
1.53,57.0,3.0,2.0
1.51,56.0,2.0,3.0
0.35,55.0,6.0,2.0
1.51,57.0,2.0,3.0
1.6,56.0,4.0,3.0
0.32,55.0,4.0,3.0
0.42,57.0,5.0,3.0
0.9,56.0,1.0,1.0
0.94,58.0,5.0,1.0
0.71,56.0,5.0,3.0
0.36,55.0,4.0,5.0
0.31,57.0,4.0,3.0
0.9,56.0,5.0,2.0
0.75,58.0,5.0,4.0
1.13,55.0,3.0,3.0
0.95,58.0,1.0,3.0
1.01,56.0,3.0,4.0
1.0,59.0,3.0,4.0
0.36,56.0,6.0,3.0
1.61,57.0,1.0,1.0
1.0,58.0,5.0,3.0
2.0,56.0,1.0,3.0
0.31,56.0,6.0,2.0
0.43,57.0,6.0,3.0
1.01,59.0,1.0,1.0
0.7,63.0,6.0,1.0
1.25,60.0,4.0,4.0
0.25,55.0,4.0,5.0
0.82,56.0,1.0,3.0
0.9,58.0,4.0,1.0
1.54,55.0,3.0,4.0
0.34,55.0,2.0,4.0
1.52,55.0,3.0,3.0
0.32,56.0,4.0,7.0
0.5,63.0,6.0,3.0
1.02,56.0,6.0,0.0
0.3,56.0,3.0,4.0
0.36,60.0,6.0,2.0
0.4,59.0,4.0,2.0
0.7,58.0,3.0,3.0
0.71,60.0,3.0,2.0
0.42,55.0,4.0,6.0
1.5,60.0,5.0,1.0
0.41,55.0,3.0,2.0
0.8,58.0,6.0,3.0
0.31,56.0,6.0,2.0
1.01,58.0,4.0,5.0
0.32,55.0,5.0,6.0
0.35,59.0,4.0,3.0
0.6,60.0,4.0,3.0
0.74,61.0,5.0,1.0
0.3,55.0,3.0,4.0
1.26,59.0,2.0,2.0
0.78,58.0,4.0,2.0
0.77,58.0,5.0,2.0
0.35,59.0,5.0,3.0
0.54,60.0,4.0,3.0
1.23,59.0,3.0,3.0
0.5,58.0,5.0,2.0
0.62,58.0,6.0,1.0
0.7,58.0,5.0,3.0
1.03,59.0,4.0,3.0
0.46,55.0,2.0,3.0
1.01,59.0,2.0,2.0
0.71,56.0,5.0,2.0
0.72,55.0,4.0,4.0
1.73,57.0,3.0,3.0
0.56,57.0,5.0,3.0
0.55,56.0,4.0,1.0
0.32,59.0,1.0,2.0
1.51,55.0,0.0,5.0
0.6,57.0,4.0,4.0
1.04,58.0,0.0,4.0
0.31,56.0,2.0,3.0
0.42,57.0,1.0,6.0
0.54,58.0,6.0,2.0
1.52,62.0,3.0,2.0
0.73,58.0,1.0,3.0
1.01,57.0,4.0,2.0
0.71,58.0,5.0,2.0
1.13,56.0,3.0,5.0
0.56,56.0,5.0,2.0
0.34,57.0,5.0,2.0
0.33,54.0,6.0,3.0
0.81,57.0,4.0,4.0
1.23,58.0,6.0,1.0
0.72,54.0,4.0,3.0
0.3,54.0,4.0,6.0
1.33,55.0,1.0,1.0
0.23,58.0,5.0,6.0
0.31,55.0,3.0,6.0
0.31,59.0,1.0,6.0
1.04,57.0,5.0,6.0
0.53,60.0,4.0,2.0
0.42,57.0,5.0,3.0
0.41,57.0,6.0,2.0
1.2,59.0,0.0,4.0
0.57,57.0,4.0,7.0
1.05,57.0,1.0,4.0
0.3,57.0,4.0,3.0
1.27,57.0,3.0,4.0
0.31,56.0,3.0,4.0
0.54,56.0,1.0,6.0
0.33,54.0,6.0,3.0
0.7,59.0,5.0,1.0
0.4,57.0,5.0,3.0
0.31,57.0,2.0,4.0
0.72,60.0,5.0,2.0
0.24,61.0,5.0,6.0
0.4,56.0,3.0,2.0
0.42,57.0,5.0,4.0
1.0,59.0,5.0,1.0
0.61,57.0,6.0,2.0
1.51,58.0,1.0,3.0
1.54,57.0,3.0,2.0
1.04,57.0,4.0,5.0
0.59,62.0,3.0,3.0
1.06,57.0,2.0,3.0
1.02,56.0,6.0,4.0
0.3,55.0,4.0,4.0
0.31,55.0,5.0,4.0
1.5,55.0,5.0,3.0
2.11,60.0,1.0,1.0
1.54,58.0,2.0,1.0
0.32,56.0,3.0,4.0
1.0,58.0,2.0,1.0
0.32,55.0,5.0,1.0
0.36,59.0,3.0,4.0
0.39,55.0,3.0,7.0
0.54,57.0,6.0,3.0
0.7,58.0,1.0,2.0
1.02,57.0,3.0,5.0
0.81,56.0,6.0,3.0
1.23,57.0,3.0,4.0
0.4,57.0,6.0,2.0
0.31,54.0,3.0,5.0
0.5,58.0,5.0,3.0
1.36,60.0,5.0,1.0
0.29,59.0,4.0,6.0
0.51,59.0,5.0,2.0
1.5,58.0,1.0,4.0
0.3,56.0,6.0,2.0
1.54,61.0,4.0,2.0
0.7,57.0,3.0,3.0
1.11,58.0,2.0,2.0
0.71,61.0,4.0,3.0
0.3,57.0,1.0,7.0
0.72,58.0,4.0,3.0
0.8,56.0,6.0,2.0
0.71,55.0,4.0,2.0
0.54,58.0,4.0,6.0
1.01,60.0,4.0,2.0
0.72,56.0,6.0,2.0
0.42,57.0,5.0,5.0
0.71,63.0,2.0,3.0
1.01,57.0,3.0,2.0
0.59,53.0,1.0,3.0
0.7,55.0,6.0,4.0
1.01,58.0,2.0,1.0
1.21,61.0,1.0,1.0
0.52,55.0,4.0,3.0
0.5,58.0,5.0,3.0
0.35,55.0,4.0,3.0
1.03,56.0,3.0,7.0
1.55,55.0,2.0,2.0
1.56,58.0,1.0,4.0
0.5,60.0,2.0,2.0
0.5,58.0,2.0,2.0
1.56,58.0,3.0,3.0
0.3,58.0,6.0,2.0
1.6,55.0,1.0,3.0
1.79,56.0,1.0,3.0
0.3,57.0,1.0,6.0
0.31,56.0,5.0,4.0
0.23,59.0,5.0,4.0
0.23,61.0,5.0,6.0
1.05,60.0,3.0,4.0
0.5,54.0,5.0,1.0
0.3,56.0,5.0,3.0
0.3,54.0,5.0,6.0
0.35,55.0,1.0,3.0
2.28,55.0,2.0,1.0
0.31,58.0,6.0,5.0
1.22,58.0,3.0,1.0
1.01,56.0,4.0,2.0
1.0,60.0,2.0,2.0
1.01,59.0,3.0,3.0
0.96,64.0,2.0,2.0
1.21,59.0,3.0,5.0
1.01,58.0,2.0,2.0
0.36,55.0,2.0,2.0
0.31,55.0,5.0,2.0
0.8,55.0,4.0,2.0
1.0,59.0,6.0,2.0
1.0,64.0,4.0,2.0
0.56,56.0,6.0,2.0
0.41,54.0,6.0,1.0
0.7,55.0,4.0,2.0
0.3,54.0,3.0,6.0
0.52,55.0,5.0,2.0
1.24,57.0,4.0,2.0
0.3,57.0,6.0,3.0
1.52,59.0,3.0,3.0
1.71,57.0,2.0,3.0
1.02,56.0,4.0,5.0
1.51,58.0,2.0,3.0
0.36,60.0,3.0,2.0
0.41,56.0,1.0,6.0
0.28,55.0,4.0,4.0
0.71,58.0,5.0,3.0
0.36,54.0,6.0,2.0
0.51,56.0,4.0,1.0
1.34,56.0,4.0,2.0
1.02,58.0,4.0,1.0
0.33,55.0,6.0,3.0
0.61,54.0,3.0,4.0
0.31,58.0,6.0,2.0
1.5,58.0,5.0,2.0
0.72,60.0,5.0,1.0
1.54,57.0,3.0,2.0
0.38,60.0,3.0,4.0
0.26,55.0,6.0,5.0
0.9,58.0,2.0,3.0
1.08,60.0,6.0,2.0
0.3,59.0,6.0,3.0
1.22,57.0,4.0,3.0
0.58,55.0,4.0,4.0
1.53,58.0,3.0,3.0
1.05,56.0,5.0,1.0
0.3,57.0,6.0,2.0
0.3,55.0,2.0,4.0
1.0,57.0,3.0,5.0
0.3,57.0,5.0,3.0
0.47,60.0,2.0,3.0
0.3,57.0,4.0,3.0
0.23,57.0,4.0,5.0
0.9,57.0,3.0,3.0
1.04,57.0,3.0,1.0
0.36,59.0,6.0,1.0
0.32,61.0,3.0,3.0
1.32,57.0,3.0,3.0
0.7,56.0,3.0,3.0
1.01,55.0,2.0,2.0
0.42,59.0,3.0,5.0
0.51,57.0,5.0,3.0
0.51,58.0,3.0,3.0
0.33,57.0,1.0,5.0
0.32,55.0,3.0,7.0
0.53,57.8,5.0,4.0
1.17,55.0,6.0,1.0
0.7,59.0,4.0,2.0
1.25,58.0,1.0,5.0
0.32,55.0,3.0,2.0
0.38,56.0,4.0,2.0
0.35,57.0,6.0,3.0
0.46,59.0,3.0,3.0
1.22,57.0,3.0,1.0
0.74,58.0,3.0,3.0
0.9,59.0,3.0,3.0
1.0,61.0,5.0,5.0
1.0,55.0,3.0,2.0
0.32,56.0,5.0,7.0
0.3,55.0,5.0,2.0
1.14,58.0,3.0,4.0
1.12,55.0,2.0,1.0
0.51,55.0,3.0,2.0
1.09,59.0,3.0,4.0
0.34,56.0,6.0,2.0
0.33,58.0,3.0,7.0
0.72,55.0,5.0,2.0
0.73,58.0,0.0,2.0
0.51,56.0,3.0,4.0
1.51,58.0,0.0,4.0
0.7,57.0,2.0,2.0
1.51,60.0,2.0,4.0
1.26,58.0,3.0,5.0
1.12,56.0,6.0,3.0
1.01,55.0,3.0,4.0
1.2,58.0,2.0,4.0
0.32,55.0,2.0,7.0
1.23,58.0,4.0,3.0
1.34,57.0,1.0,5.0
0.81,56.0,3.0,4.0
0.3,53.0,4.0,5.0
0.5,56.0,3.0,5.0
0.31,56.0,3.0,7.0
0.73,60.0,4.0,4.0
0.91,58.0,2.0,1.0
0.41,60.0,4.0,5.0
0.56,55.0,5.0,5.0
0.28,55.0,6.0,5.0
0.32,58.0,6.0,2.0
1.5,57.0,2.0,3.0
0.7,58.0,0.0,3.0
0.32,60.0,3.0,3.0
1.02,58.0,2.0,2.0
1.71,58.0,1.0,4.0
0.32,57.0,1.0,7.0
0.33,55.0,6.0,3.0
0.78,58.0,2.0,3.0
1.02,56.0,3.0,2.0
0.56,58.0,5.0,3.0
1.0,54.0,4.0,2.0
1.58,57.0,4.0,1.0
0.3,58.0,3.0,2.0
0.31,57.0,1.0,3.0
1.2,60.0,2.0,2.0
1.24,58.0,3.0,2.0
0.78,55.0,3.0,3.0
1.02,57.0,0.0,0.0
1.22,57.0,4.0,2.0
0.41,59.0,5.0,3.0
1.12,59.0,3.0,3.0
0.32,58.0,2.0,4.0
0.32,58.0,6.0,3.0
1.0,57.0,4.0,1.0
0.51,57.0,5.0,2.0
1.13,57.0,4.0,5.0
1.52,57.0,2.0,6.0
0.71,60.0,6.0,1.0
2.18,60.0,1.0,2.0
0.51,56.0,2.0,2.0
2.03,56.0,1.0,2.0
1.01,58.0,6.0,2.0
0.71,56.0,5.0,3.0
2.01,56.0,0.0,2.0
2.52,60.7,0.0,1.0
1.0,58.0,6.0,2.0
1.27,59.0,2.0,2.0
1.03,60.0,4.0,2.0
0.58,60.0,5.0,1.0
0.7,57.0,2.0,2.0
0.42,55.0,4.0,6.0
1.73,56.0,2.0,3.0
0.42,59.0,5.0,2.0
0.4,56.0,3.0,1.0
0.6,56.0,3.0,4.0
1.03,58.0,4.0,1.0
0.57,53.0,3.0,4.0
0.3,55.0,3.0,6.0
0.84,59.0,6.0,2.0
0.41,57.0,5.0,4.0
0.5,56.0,3.0,6.0
2.03,59.0,4.0,1.0
0.57,57.0,6.0,5.0
0.42,56.0,3.0,5.0
0.9,58.0,2.0,4.0
0.32,55.0,3.0,5.0
1.55,57.0,6.0,2.0
1.5,62.0,5.0,3.0
0.38,58.0,6.0,2.0
0.83,59.0,4.0,1.0
0.9,60.0,3.0,2.0
1.17,56.0,0.0,1.0
0.34,56.0,5.0,2.0
0.4,59.0,6.0,3.0
0.53,59.0,5.0,2.0
0.41,56.0,3.0,1.0
0.9,57.0,1.0,1.0
0.27,57.0,5.0,6.0
2.01,61.0,2.0,2.0
0.3,56.0,4.0,6.0
0.7,57.0,5.0,3.0
0.43,55.0,4.0,4.0
1.36,56.0,2.0,5.0
1.64,59.9,2.0,3.0
1.0,58.0,3.0,4.0
0.41,55.0,5.0,5.0
